fid,id,left,top,right,bottom,row_index,col_index,tree_height_mean,tree_height_min,tree_height_max,biketrail_distance_mean,biketrail_distance_max,carroad_mean,carroad_max,horse_mean,horse_max,hiking_distance_mean,hiking_distance_max
"8687","30295",320433.2125,5613691.8086,320533.2125,5613591.8086,"48","142",15.3664809906006,0,22.6800231933594,1390.16414051514,1452.51672363281,436.393102575684,487.779663085938,57.5364282381177,116.297035217285,279.640813110352,346.716033935547
"8688","30296",320433.2125,5613591.8086,320533.2125,5613491.8086,"49","142",6.60575786743164,0,25.0599975585938,1362.71414197998,1422.85388183594,336.661213058472,388.495819091797,40.7104118691921,98.2700347900391,354.208840719604,388.723541259766
"8689","30297",320433.2125,5613491.8086,320533.2125,5613391.8086,"50","142",9.39765704650879,0,25.2300109863281,1341.81382349854,1399.50061035156,237.143073474121,289.675689697266,134.187588838196,183.967391967773,292.66049778595,347.131103515625
"8690","30298",320433.2125,5613391.8086,320533.2125,5613291.8086,"51","142",15.2122780181885,0,22.8900146484375,1327.59368886719,1382.53747558594,138.171379531097,191.44189453125,154.458227252197,207.935089111328,193.799329006958,250
"8691","30299",320433.2125,5613291.8086,320533.2125,5613191.8086,"52","142",14.093839204233,0,28.3599853515625,1320.97146805924,1372.1552734375,45.1574741879066,95.2732925415039,88.7832789073509,156.524765014648,100.045854036852,156.524765014648
"8692","30300",320433.2125,5613191.8086,320533.2125,5613091.8086,"53","142",10.0150290128981,0,17.6599731445312,1355.47177004607,1372.6474609375,25.0222255899445,65.7419204711914,22.3075975753611,80.6225738525391,20.0600141536687,80.6225738525391
"8693","30301",320433.2125,5613091.8086,320533.2125,5612991.8086,"54","142",13.3714860795854,1.20001220703125,16.3799743652344,1368.89574205553,1374.87817382812,73.5697458381327,90.7579193115234,67.9779493706858,85.1469345092773,4.58319155375163,13
"8694","30319",320433.2125,5611291.8086,320533.2125,5611191.8086,"72","142",5.78759971824852,0,17.4100036621094,447.0365513982,455.969299316406,624.674386616626,639.803100585938,216.893322364957,227.66862487793,141.213936949088,151.449661254883
"8695","30320",320433.2125,5611191.8086,320533.2125,5611091.8086,"73","142",14.0236192154686,0,33.9000244140625,505.668151060588,544.249938964844,655.848595780026,714.482299804688,251.022193283535,307.058624267578,190.112057814019,243.180999755859
"8696","30321",320433.2125,5611091.8086,320533.2125,5610991.8086,"74","142",13.210776940918,0,30.8500061035156,478.892873171997,535.003723144531,671.096683752441,727.789123535156,320.58922960968,388.012878417969,257.717827253723,304.553771972656
"8697","30322",320433.2125,5610991.8086,320533.2125,5610891.8086,"75","142",13.4069149139404,0,25.4700012207031,380.124632559204,435.876129150391,692.146374194336,753.576110839844,408.454817520142,474.093872070312,291.218838078308,336.429779052734
"8698","30323",320433.2125,5610891.8086,320533.2125,5610791.8086,"76","142",11.7978660766602,0,22.6500244140625,281.267987417603,337.028198242188,726.199883087158,791.250305175781,498.088816610718,546.920471191406,306.672354502869,363.600067138672
"8699","30324",320433.2125,5610791.8086,320533.2125,5610691.8086,"77","142",13.7455490020752,0,36.6800231933594,182.400740597534,238.951873779297,771.710349700928,832.233764648438,470.388756542969,528.4931640625,327.50588251648,387.397735595703
"8700","30325",320433.2125,5610691.8086,320533.2125,5610591.8086,"78","142",26.3590510681152,0,39.9400024414062,84.2589161420822,142.947540283203,780.324407324219,824.631408691406,372.616235281372,432.325103759766,356.279127593994,420.107116699219
"8701","30326",320433.2125,5610591.8086,320533.2125,5610491.8086,"79","142",20.1234649475098,0,32.9199829101562,25.4512612231255,71.021125793457,694.166968151855,757.081237792969,276.13514183197,338.162689208984,402.276191223145,470.338165283203
"8702","30327",320433.2125,5610491.8086,320533.2125,5610391.8086,"80","142",19.4987161682129,0,30.8800048828125,99.245098915863,170.155807495117,599.669420947266,662.544311523438,181.311043096924,244.754974365234,462.009453594971,530.947265625
"8703","30328",320433.2125,5610391.8086,320533.2125,5610291.8086,"81","142",25.4139737487793,0,33.0299987792969,180.872112409973,247.679229736328,505.311539602661,568.351989746094,88.969522451973,154.288696289062,530.464883148193,601.103149414062
